player_id,player_screens,codigo_soporte,screen_resolution,geolocation,latitude,longitude,address,zipcode,container_name,country,mall_name,tipo_soporte,tipo_emission,ubicacion,ID_digital,cp
299833719,1,TRACE-299833719, 1080x1920,"(2.78335,41.966354)",41.966354,2.78335,"N-IV, km 639, 11408 Jerez de la Frontera, Cádiz",17190,AREA SUR,SPAIN,Area Sur,MUPI,DIGITAL,INDOOR,299833719,17190
307851164,2,TRACE-307851164, 1080x1920,"(-3.608608,40.56776)",40.56776,-3.608608,Calle Salvador de Madariaga,28702,TSO SSRR,SPAIN,TSO SSRR,MUPI,DIGITAL,INDOOR,307851164,28702
358598359,10,TRACE-358598359, 720x1280,"(-6.602727,42.556774)",42.556774,-6.602727,Av de la  Constitución,24400,EL ROSAL,SPAIN,El Rosal,MUPI,DIGITAL,INDOOR,358598359,24400
382585052,1,TRACE-382585052, 1080x1920,"(2.134147,41.3894)",41.3894,2.134147,"Avinguda Diagonal, 557",08029,ILLA DIAGONAL- CAM,SPAIN,Illa Diagonal (CAM),MUPI,DIGITAL,INDOOR,382585052,08029
391690470,1,TRACE-391690470, 720x1280,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,TSO GETAFE,SPAIN,TSO Getafe,MUPI,DIGITAL,INDOOR,391690470,28906
395051387,1,TRACE-395051387, 1080x1920,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,TSO GETAFE,SPAIN,TSO Getafe,MUPI,DIGITAL,INDOOR,395051387,28906
421351920,40,TRACE-421351920, 1080x1920,"(-3.701446,40.391134)",40.391134,-3.701446,"Av del Manzanares, 210, 28026 Madrid",28026,PLAZA RIO 2,SPAIN,Plaza Rio 2,MUPI,DIGITAL,INDOOR,421351920,28026
440978423,6,TRACE-440978423, 1080x1920,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,NASSICA,SPAIN,Nassica,MUPI,DIGITAL,INDOOR,440978423,28906
441464864,3,TRACE-441464864, 1080x1920,"(-4.476779,36.657055)",36.657055,-4.476779,Calle Alfonso Ponce de León,29140,PLAZA MAYOR,SPAIN,Plaza Mayor,MUPI,DIGITAL,INDOOR,441464864,29140
446147925,12,TRACE-446147925, 1080x1920,"(2.78335,41.966354)",41.966354,2.78335,"N-IV, km 639, 11408 Jerez de la Frontera, Cádiz",17190,AREA SUR,SPAIN,Area Sur,MUPI,DIGITAL,INDOOR,446147925,17190
466321199,1,TRACE-466321199, 1080x1920,"(-8.370797,43.290645)",43.290645,-8.370797,"Av. Alvedro, 5",15189,TSO CORUÑA,SPAIN,TSO Coruña,MUPI,DIGITAL,INDOOR,466321199,15189
489028749,1,TRACE-489028749, 1080x1920,"(-3.608608,40.56776)",40.56776,-3.608608,Calle Salvador de Madariaga,28702,TSO SSRR,SPAIN,TSO SSRR,MUPI,DIGITAL,INDOOR,489028749,28702
556954182,6,TRACE-556954182, 1080x1920,"(-6.997032,38.883476)",38.883476,-6.997032,Av. de Elvas,06006,CONQUISTADORES,SPAIN,Conquistadores,MUPI,DIGITAL,INDOOR,556954182,06006
145445900,12,TRACE-145445900, 1080x1920,"(-1.845757,38.990623)",38.990623,-1.845757,Calle Alcalde Conangla,02002,ALBACENTER,SPAIN,Albacenter,MUPI,DIGITAL,INDOOR,145445900,02002
474101515,1,TRACE-474101515, 1080x1920,"(-3.694407,40.27219)",40.27219,-3.694407,Av. Río Guadalquivir,28906,TSO GETAFE,SPAIN,TSO Getafe,MUPI,DIGITAL,INDOOR,474101515,28906
